Sr. No.,State,Work,Work ID,IDA,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ )
27398,Himachal Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18328/2025-2026/196718,MANDI(DEPUTY COMMISSIONER MANDI_IDA),Kangana Ranaut,MANDI,17-Aug-26,Gram Panchayat Khandla,Payment Success,50000
27399,Himachal Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18328/2025-2026/195260,MANDI(DEPUTY COMMISSIONER MANDI_IDA),Kangana Ranaut,MANDI,17-Aug-26,Gram Panchayat Khandla,Payment Success,20000
27400,West Bengal,"Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",WS/MP18249/2025-2026/153603,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),PARTHA BHOWMICK,BARRACKPUR,19-Sep-25,UNITECH INSULATION,Payment Success,7783740
27401,West Bengal,"Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",WS/MP18249/2025-2026/153603,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),PARTHA BHOWMICK,BARRACKPUR,23-Feb-26,UNITECH INSULATION,Payment Success,7221061
27402,West Bengal,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP859/2024-2025/149456,HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA),Kalyan Banerjee,SREERAMPUR,10-Sep-25,Somnath Sasmal,Payment Success,668040
27403,West Bengal,Street lights,WS/MP485/2024-2025/134838,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Pratima Mondal,JOYNAGAR(SC),10-Sep-25,SUSHILA ENTERPRISE,Payment Success,249625
27404,Andhra Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP529/2025-2026/170136,Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Maddila Gurumoorthy,TIRUPATI(SC),09-Sep-25,GRR ENTERPRISES,Payment Success,499964
27405,Andhra Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP529/2025-2026/170140,Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Maddila Gurumoorthy,TIRUPATI(SC),09-Sep-25,GRR ENTERPRISES,Payment Success,499964
27406,Andhra Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP529/2025-2026/170143,Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Maddila Gurumoorthy,TIRUPATI(SC),10-Sep-25,GRR ENTERPRISES,Payment Success,299764
27407,Andhra Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP529/2025-2026/170133,Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Maddila Gurumoorthy,TIRUPATI(SC),09-Sep-25,GRR ENTERPRISES,Payment Success,398320
27408,Himachal Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18069/2025-2026/216967,KANGRA(DEPUTY COMMISSIONER KANGRA_IDA),RAJEEV BHARDWAJ,KANGRA,07-Aug-26,BDO Nagrota Bagwan,Payment Success,100000
27409,Himachal Pradesh,Development of playfields and sports grounds,WS/MP18069/2025-2026/216980,KANGRA(DEPUTY COMMISSIONER KANGRA_IDA),RAJEEV BHARDWAJ,KANGRA,10-Apr-26,BDO Nagrota Bagwan,Payment Success,89100
27410,Himachal Pradesh,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP18069/2025-2026/216982,KANGRA(DEPUTY COMMISSIONER KANGRA_IDA),RAJEEV BHARDWAJ,KANGRA,18-Jun-26,BDO Nagrota Bagwan,Payment Success,100000
