work_id,category,state,district,sanctioned_amt,norm_cost,norm_duration,shap_norm_cost,shap_norm_duration,primary_driver
1,Health Centre Infrastructure,Maharashtra,Hingoli,3701564.12,1.2354560306462286,1.334841628959276,-0.010615951834625253,-0.11530226743289479,Timeline Duration
2,Rural Roads,Maharashtra,Hingoli,3782079.38,1.095447214759367,1.1554404145077721,0.4062568140760921,0.7527312448983093,Timeline Duration
3,Health Centre Infrastructure,Maharashtra,Hingoli,4803380.36,1.6032047644901128,2.4479638009049776,-0.12577672313906582,-3.3136130145328657,Timeline Duration
4,Irrigation Facilities,Maharashtra,Hingoli,4041622.24,1.2347224829848993,1.1697247706422018,0.10751248244239842,0.701616147940476,Timeline Duration
5,Drinking Water Supply,Maharashtra,Hingoli,520435.51,0.34635936588988614,0.8802816901408451,-1.3388632692035378,0.8033160681198365,Cost Multiplier
6,Sports Infrastructure,Maharashtra,Hingoli,2451616.08,1.2336762730600428,1.3296703296703296,-0.003212968180372429,-0.09930688355028156,Timeline Duration
7,Community Hall Construction,Maharashtra,Hingoli,1544712.46,0.8641582399657056,5.394495412844036,0.45171551174733215,-4.8422050545220445,Timeline Duration
8,Health Centre Infrastructure,Jammu And Kashmir,Baramullah,3099032.22,1.0343514042290776,0.918552036199095,0.5127239724570528,1.0521996368238635,Timeline Duration
9,Health Centre Infrastructure,Jammu And Kashmir,Baramullah,1448370.15,0.4834166256251377,0.8687782805429864,-0.1707732992433335,0.8543213947126346,Timeline Duration
10,Sanitation & Drainage,Jammu And Kashmir,Baramullah,1623381.8,1.423458642209887,1.353448275862069,0.11770509392526579,-0.23323414036929593,Timeline Duration
11,Street Lighting,Jammu And Kashmir,Baramullah,852718.65,1.2470194189595716,0.6212121212121212,0.011599661227852354,0.41152866492478907,Timeline Duration
12,Health Centre Infrastructure,Jammu And Kashmir,Baramullah,4797753.22,1.601326616814451,1.0633484162895928,-0.11405549886284581,0.9409261069324492,Timeline Duration
13,Community Hall Construction,Bihar,Aurangabad,1513541.53,0.8467202916715006,0.6834862385321101,0.32912116651901246,0.6254176175173664,Timeline Duration
14,Community Hall Construction,Bihar,Aurangabad,1695454.75,0.9484879747143979,1.311926605504587,0.5764609315207404,0.1999492508914086,Cost Multiplier
15,Electrification,Bihar,Aurangabad,1603359.34,1.5492485649544925,1.0,0.24625609138757523,1.0387729652619409,Timeline Duration
16,Irrigation Facilities,Bihar,Aurangabad,5033863.17,1.5378537783057715,0.6880733944954128,0.28834504798036265,0.7531084575789279,Timeline Duration
17,Electrification,Bihar,Aurangabad,1007683.35,0.9736756726761172,1.105263157894737,0.6043661949847596,0.8637457870394915,Timeline Duration
18,Electrification,Bihar,Aurangabad,339492.01,0.32803470574850435,0.7578947368421053,-1.2907253551269893,0.8462142101546696,Cost Multiplier
19,Drinking Water Supply,Bihar,Aurangabad,1232134.25,0.8200079151424744,1.176056338028169,0.46122612420787074,0.6885243871791454,Timeline Duration
20,Street Lighting,West Bengal,Tamluk,338980.39,0.49572637935911096,0.7121212121212122,0.05217585642305245,0.7356482894281379,Timeline Duration
